Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",168,65,53,0.00368,0.2029,0.002504,0.098,0.8605,267,37,51,276
3,"age,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.003593,0.0684,0.8669,268,34,50,279
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.003593,0.0684,0.8494,254,31,64,282
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",132,110,44,0.000853,0.2645,0.000832,0.0935,0.8811,269,26,49,287
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,76,35,0.001459,0.3484,0.01,0.0501,0.8669,264,30,54,283
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.007235,0.2529,0.8526,257,32,61,281
3,"cp,trestbps,chol,restecg,oldpeak,slope,ca",168,79,34,0.009397,0.2806,0.008362,0.0328,0.8479,262,40,56,273
3,"cp,trestbps,chol,restecg,oldpeak,slope,ca",147,108,41,0.002171,0.3912,0.000995,0.2576,0.8574,263,35,55,278
3,"age,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",149,115,46,0.0001,0.2862,0.01,0.1559,0.851,249,25,69,288
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",132,110,44,0.000853,0.2645,1e-06,0.0935,0.8574,263,35,55,278
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,110,44,0.000853,0.2645,0.000832,0.0935,0.8526,257,32,61,281
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",151,104,46,0.003438,0.3913,0.009539,0.01,0.8574,260,32,58,281
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",138,70,35,0.005615,0.3188,0.01,0.2787,0.859,260,31,58,282
3,"age,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",168,66,53,0.00368,0.1991,0.002504,0.098,0.8637,263,31,55,282
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",168,66,53,0.00368,0.1991,0.002504,0.122,0.8637,264,32,54,281
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,110,44,0.000853,0.2645,0.000832,0.0935,0.8621,263,32,55,281
