Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",168,91,39,0.000675,0.3067,0.000323,0.2099,0.8605,259,29,59,284
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",154,108,56,0.009393,0.2415,0.009621,0.082,0.8574,267,39,51,274
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",144,87,57,0.001086,0.0201,0.004002,0.1525,0.851,264,40,54,273
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,83,36,0.000192,0.1381,0.009229,0.2014,0.8669,271,37,47,276
2,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",190,124,40,0.002939,0.3301,1e-06,0.126,0.8764,268,28,50,285
2,"sex,cp,trestbps,chol,restecg,oldpeak,slope,ca",163,86,40,0.008053,0.0688,0.009695,0.0877,0.851,254,30,64,283
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",165,82,36,0.003245,0.3482,0.005372,0.2125,0.8621,266,35,52,278
2,"age,cp,trestbps,chol,restecg,oldpeak,slope,ca",153,127,33,0.005643,0.1738,0.004163,0.0647,0.8494,258,35,60,278
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",188,75,37,0.008223,0.0005,0.005944,0.2791,0.8431,274,55,44,258
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,112,38,0.001862,0.117,0.003453,0.0614,0.8431,258,39,60,274
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,71,54,0.008811,0.3291,0.002876,0.2154,0.8542,265,39,53,274
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",171,89,44,0.003062,0.3767,0.006251,0.0114,0.8637,266,34,52,279
3,"sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",163,86,43,0.0001,0.1281,1e-06,0.2298,0.8716,266,29,52,284
